DateUpdated,DelaySeverity,Description,EmergencyText,EndLocationFullName,IncidentID,IncidentType,LinesAffected,PassengerDelay,StartLocationFullName
2017-08-12T06:55:45,,"Red Line: Thru Sunday's closing, trains operate every 20 min w/single tracking btwn Farragut N & Judiciary Sq due to scheduled maintenance.",,,96C3FBF0-BD9D-4718-AEA7-208A3F27FB22,Alert,RD;,0.0,
2017-08-12T06:51:36,,"Green Line: Naylor Road, Suitland & Branch Ave stations are closed this weekend due to capital improvement. For more info visit wmata.com",,,1FD1A2AF-3714-461D-A3C3-C7F8855B6ABC,Alert,GR;,0.0,
2017-08-13T18:44:12,,Red Line: Expect residual delays to Shady Grove due to an earlier train malfunction at Glenmont.,,,DB6D8C85-672E-47E0-AACE-5A0B36466225,Delay,RD;,0.0,
2017-08-12T06:50:23,,"Green Line: This weekend, buses replace trains btwn Southern Ave & Branch Ave due to capital improvement. Limited shuttle buses available.",,,ED9BCC5D-248F-4F50-9652-316A67C40A1F,Alert,GR;,0.0,
2017-08-17T21:21:18,,"Red Line: Until closing, trains run every 20-25 min w/ single tracking between Friendship Heights & Grosvenor due to scheduled track work.",,,7C45B5F5-F36B-4F0A-BD42-2D707A06B668,Alert,RD;,0.0,
2017-08-14T04:46:08,,"Green Line: Thru Aug 20th, Suitland & Branch Ave stations are closed due to capital improvement. For more info visit wmata.com",,,B284162D-C64B-405F-B268-E4597E27BC14,Alert,GR;,0.0,
2017-08-14T04:44:20,,"Green Line: Thru Aug 20th, buses replace trains btwn Naylor Rd & Branch Ave due to capital improvement. Limited shuttle bus svc available.",,,17D6E679-D335-482E-9C7F-11A3A3D36A71,Alert,GR;,0.0,
2017-08-21T16:40:31,,Blue/Yellow Line: Expect delays in both directions due to a switch problem outside King Street.,,,4974ACE4-DF8C-40B2-91FB-8B642A844F9A,Delay,BL; YL;,0.0,
2017-08-23T07:50:47,,Silver Line: Expect delays to Wiehle-Reston East due to a disabled train at East Falls Church.,,,DCB6A7F1-4024-4ED3-B1CC-3EEBB47919D5,Delay,SV;,0.0,
2017-08-23T08:02:59,,Silver Line: Expect residual delays to Wiehle-Reston East due to an earlier train malfunction at East Falls Church.,,,019815F4-BF0F-4932-9FB0-41F470FB1E32,Delay,SV;,0.0,
2017-08-23T08:12:04,,Silver Line:  Normal service has resumed at East Falls Church.,,,9675DC49-3EA9-4FE5-B8D6-79D616CDAEED,Delay,SV;,0.0,
2017-08-23T08:42:10,,Orange/Silver Line: Expect delays in both directions due to a signal problem outside of East Falls Church.,,,1AFB08E7-CB0F-46F1-9439-23EF1B0C6B7E,Delay,OR; SV;,0.0,
2017-08-23T17:27:31,,Green Line: Expect residual delays to Greenbelt due to an earlier police investigation at Suitland.,,,DA3C239C-B25E-45DD-A8F6-485BEAC72931,Delay,GR;,0.0,
2017-08-23T18:06:07,,"Org/Blu/Sil Line: Expect residual delays to Vienna, Wiehle-Reston E & Franconia-Springfield due to an earlier train malfunction at Rosslyn.",,,79499E82-5403-44DE-A08E-6750B74EFC83,Delay,BL; OR; SV;,0.0,
2017-08-23T19:04:11,,Red Line: Expect residual delays to Shady Grove due to an earlier train malfunction at Bethesda.,,,C57A068B-F667-405B-A853-1E8AD922F7EF,Delay,RD;,0.0,
